Date,Close (BNB),Close (BTC),Close (USDT),Close (ETH)
29-06-18,14.5086,6218.299805,1.00333,436.009003
30-06-18,14.6573,6404,0.999192,455.179993
01-07-18,14.4041,6385.819824,0.998821,453.917999
02-07-18,14.5706,6614.180176,0.998859,475.346985
03-07-18,14.1715,6529.589844,1.00032,464.195007
04-07-18,14.0055,6597.549805,0.999195,467.317993
05-07-18,13.8505,6639.140137,1.00614,474.411987
06-07-18,13.5296,6673.5,1.00316,474.011993
07-07-18,14.4048,6856.930176,1.00621,491.660004
08-07-18,13.9919,6773.879883,1.00425,489.118988
09-07-18,13.6645,6741.75,1.0075,476.682007
10-07-18,12.7613,6329.950195,1.0012,434.424011
11-07-18,12.7049,6394.709961,1.00116,446.518005
12-07-18,12.0706,6228.810059,0.99907,430.074005
13-07-18,12.1801,6238.049805,1.00142,434.027008
14-07-18,12.0965,6276.120117,1.00265,436.085999
15-07-18,12.2891,6359.640137,0.998352,449.850006
16-07-18,13.2373,6741.75,0.999139,480.65799
17-07-18,13.7128,7321.040039,1.00013,501.002014
18-07-18,12.8648,7370.779785,1.00221,480.513
19-07-18,12.918,7466.859863,0.998088,469.618988
20-07-18,12.0709,7354.129883,1.00103,450.697998
21-07-18,12.1853,7419.290039,1.00004,462.436005
22-07-18,12.1199,7418.490234,0.999843,459.657013
23-07-18,12.0199,7711.109863,0.997496,450.852997
24-07-18,12.1451,8424.269531,0.996505,479.372986
25-07-18,12.9394,8181.390137,0.998791,472.493011
26-07-18,13.3973,7951.580078,0.997951,464.036987
27-07-18,13.9227,8165.009766,0.997118,469.665985
28-07-18,14.6017,8192.150391,0.997887,466.89801
29-07-18,14.0212,8218.459961,0.998919,466.665009
30-07-18,13.2169,8180.47998,0.99891,457.080994
31-07-18,13.7754,7780.439941,0.999507,433.867004
01-08-18,13.5739,7624.910156,0.999409,420.747009
02-08-18,14.1769,7567.149902,1.00066,412.621002
03-08-18,14.1346,7434.390137,0.999095,418.261993
04-08-18,13.8424,7032.850098,0.998505,407.252014
05-08-18,13.6232,7068.47998,0.999347,410.515991
06-08-18,13.6991,6951.799805,1.00095,406.65799
07-08-18,13.1461,6753.120117,1.00154,380.214996
08-08-18,12.1437,6305.799805,1.00169,356.613007
09-08-18,12.858,6568.22998,1.00424,365.588013
10-08-18,12.1308,6184.709961,1.00158,334.175995
11-08-18,11.7366,6295.72998,1.00985,322.112
12-08-18,11.7418,6322.689941,1.00049,319.570007
13-08-18,10.2282,6297.569824,1.00393,286.494995
14-08-18,9.42011,6199.709961,0.997543,278.932007
15-08-18,9.46301,6308.52002,1.00125,282.364014
16-08-18,9.80233,6334.72998,1.00122,288.04599
17-08-18,10.8678,6580.629883,0.997761,315.729004
18-08-18,9.90758,6423.759766,1.00286,295.812012
19-08-18,10.1562,6506.069824,1.00052,300.834015
20-08-18,9.70093,6308.529785,1.00539,274.315002
21-08-18,9.71463,6488.759766,1.0007,281.944
22-08-18,9.53973,6376.709961,1.00035,271.341003
23-08-18,9.71504,6534.879883,0.998976,277.104004
24-08-18,10.2347,6719.959961,1.00178,282.96701
25-08-18,10.1358,6763.189941,1.001,279.645996
26-08-18,10.1856,6707.259766,0.999227,275.196991
27-08-18,11.2128,6884.640137,0.997802,285.602997
28-08-18,11.4861,7096.279785,0.999395,296.498993
29-08-18,11.1735,7047.160156,1.00066,289.312012
30-08-18,10.7626,6978.22998,1.00003,284.105011
31-08-18,11.0138,7037.580078,1.00351,283.003998
01-09-18,11.3794,7193.25,0.996813,295.341003
02-09-18,11.2994,7272.720215,0.997839,294.371002
03-09-18,11.2611,7260.060059,0.998642,289.259003
04-09-18,11.3592,7361.660156,0.999517,285.722992
05-09-18,10.0866,6792.830078,1.00795,232.330994
06-09-18,10.2842,6529.169922,1.00091,230.214996
07-09-18,10.0373,6467.069824,1.00636,217.203003
08-09-18,9.52008,6225.97998,1.00428,197.951004
09-09-18,9.51263,6300.859863,1.00498,196.923996
10-09-18,9.52487,6329.700195,1.00128,197.078995
11-09-18,9.37396,6321.200195,1.00454,185.065994
12-09-18,9.21443,6351.799805,1.00125,183.330994
13-09-18,9.60406,6517.310059,1.00635,211.354004
14-09-18,9.93005,6512.709961,1.00236,211.748993
15-09-18,10.1103,6543.200195,1.00086,223.074005
16-09-18,9.93602,6517.180176,1.00096,220.589005
17-09-18,9.40526,6281.200195,1.00411,197.875
18-09-18,9.54406,6371.299805,1.00225,209.975006
19-09-18,9.61909,6398.540039,1.00069,209.968994
20-09-18,10.0745,6519.669922,1.00154,224.591003
21-09-18,10.4108,6734.950195,0.994428,246.584
22-09-18,10.245,6721.97998,1.00092,240.479996
23-09-18,10.2806,6710.629883,0.999512,244.330002
24-09-18,10.0359,6595.410156,1.00063,228.729996
25-09-18,9.78316,6446.470215,1.00044,218.505005
26-09-18,9.73663,6495,1.00213,215.847
27-09-18,10.0312,6676.75,0.997107,228.494003
28-09-18,9.96934,6644.129883,1.00142,222.401993
29-09-18,9.99914,6601.959961,0.999602,231.634995
30-09-18,10.0178,6625.560059,1.00036,232.848007
01-10-18,9.94366,6589.620117,0.997925,230.768005
02-10-18,10.3568,6556.100098,0.999741,227.181
03-10-18,10.2712,6502.589844,0.998569,220.488998
04-10-18,10.2556,6576.689941,0.996185,222.218002
05-10-18,10.6362,6622.47998,0.995778,227.600998
06-10-18,10.3721,6588.310059,0.997177,225.119995
07-10-18,10.519,6602.950195,0.996617,226.119003
08-10-18,10.5066,6652.22998,0.995814,229.255005
09-10-18,10.3849,6642.640137,0.996779,227.981995
10-10-18,10.328,6585.529785,0.993502,225.768997
11-10-18,9.30132,6256.240234,0.993026,189.498993
12-10-18,9.52894,6274.580078,0.994102,196.727005
13-10-18,9.54036,6285.990234,0.988046,199.841003
14-10-18,9.49674,6290.930176,0.98957,195.714996
15-10-18,10.3161,6596.540039,0.980138,209.703995
16-10-18,10.0109,6596.109863,0.975152,210.119995
17-10-18,9.90447,6544.430176,0.971225,207.082993
18-10-18,9.71658,6476.709961,0.980858,203.352005
19-10-18,9.76675,6465.410156,0.987712,203.727005
20-10-18,9.75463,6489.189941,0.983831,205.429993
21-10-18,9.7433,6482.350098,0.983548,205.141998
22-10-18,9.72685,6487.160156,0.983998,204.044006
23-10-18,9.80308,6475.740234,0.987962,204.335999
24-10-18,9.74532,6495.839844,0.988612,203.852005
25-10-18,9.69228,6476.290039,0.988791,202.718994
26-10-18,9.70268,6474.75,0.989789,203.328995
27-10-18,9.65445,6480.379883,0.993097,204.210007
28-10-18,9.66679,6486.390137,0.998453,205.365997
29-10-18,9.40262,6332.629883,0.996859,197.246994
30-10-18,9.38704,6334.27002,0.996671,197.556
31-10-18,9.36496,6317.609863,0.988122,197.380997
01-11-18,9.54922,6377.779785,0.99172,198.871994
02-11-18,9.57308,6388.439941,0.993501,200.634995
03-11-18,9.53021,6361.259766,0.999433,200.186005
04-11-18,9.62754,6376.129883,0.988708,207.485992
05-11-18,9.67251,6419.660156,0.993176,209.091003
06-11-18,9.78081,6461.009766,0.992796,218.451996
07-11-18,9.81693,6530.140137,0.99327,217.182999
08-11-18,9.65095,6453.720215,0.994333,212.231003
09-11-18,9.5542,6385.620117,0.994832,210.074005
10-11-18,9.55752,6409.220215,0.99718,212.533005
11-11-18,9.466,6411.27002,0.990462,211.339996
12-11-18,9.36122,6371.27002,0.989148,210.417999
13-11-18,9.24841,6359.490234,0.985118,206.826004
14-11-18,8.40701,5738.350098,0.966644,181.397003
15-11-18,8.18486,5648.029785,0.982022,180.806
16-11-18,7.88448,5575.549805,0.987027,175.177002
17-11-18,7.7182,5554.330078,0.985869,174.001007
18-11-18,7.99976,5623.540039,0.992533,177.067001
19-11-18,6.63209,4871.490234,0.98273,149.175003
20-11-18,5.76021,4451.870117,0.968799,130.339005
21-11-18,6.19905,4602.169922,0.987504,136.701004
22-11-18,5.75555,4365.939941,0.998188,126.706001
23-11-18,5.55743,4347.109863,0.98257,123.295998
24-11-18,5.11528,3880.76001,0.980224,113.494003
25-11-18,5.18058,4009.969971,0.980969,116.449997
26-11-18,4.92645,3779.129883,0.977243,108.334999
27-11-18,4.91305,3820.719971,0.98426,110.010002
28-11-18,5.33696,4257.419922,0.998622,122.438004
29-11-18,5.346633,4278.84668,0.997377,117.542648
30-11-18,5.078572,4017.268555,0.991823,113.171417
01-12-18,5.288723,4214.671875,1.001052,118.635559
02-12-18,5.250417,4139.87793,0.998372,116.388901
03-12-18,5.109251,3894.130859,0.996594,108.925018
04-12-18,5.880791,3956.893799,1.000031,110.214188
05-12-18,5.984278,3753.994873,0.992966,102.475555
06-12-18,4.951687,3521.101807,0.998296,91.761055
07-12-18,4.52865,3419.937256,1.001431,93.294563
08-12-18,4.700418,3476.114746,1.019975,92.159637
09-12-18,4.859104,3614.234375,1.015502,95.142059
10-12-18,4.712263,3502.656006,1.016604,91.685654
11-12-18,4.940698,3424.588135,1.009794,88.945305
12-12-18,5.023137,3486.950195,1.009756,90.5933
13-12-18,4.650704,3313.677246,1.003378,86.539314
14-12-18,4.533357,3242.484863,1.002197,84.308296
15-12-18,4.563012,3236.761719,1.004989,84.440811
16-12-18,4.645258,3252.839111,1.006336,85.2621
17-12-18,5.110017,3545.864746,1.009941,95.133827
18-12-18,5.60027,3696.059082,1.012868,101.112457
19-12-18,5.491901,3745.950684,1.022362,101.268578
20-12-18,5.792257,4134.441406,1.019417,116.216873
21-12-18,5.567144,3896.543701,1.015506,109.496231
22-12-18,5.930578,4014.182617,1.020806,116.759499
23-12-18,6.059008,3998.980225,1.015955,130.765259
24-12-18,6.144924,4078.599121,1.015777,140.238007
25-12-18,5.547575,3815.490723,1.01905,129.844345
26-12-18,5.713105,3857.297607,1.01955,131.865631
27-12-18,5.27545,3654.833496,1.024174,116.575912
28-12-18,6.011828,3923.918701,1.02316,137.647018
29-12-18,5.83234,3820.408691,1.031473,138.018341
30-12-18,5.995711,3865.952637,1.019086,139.859451
31-12-18,6.164732,3742.700439,1.013722,133.368256
